1,10,23,29,33,37,40,0,143934100,5140500,113400,10000
2,9,13,21,25,32,42,2002006800,94866800,1842000,100800,10000
3,11,16,19,21,27,31,2000000000,0,1174100,54900,10000
5,16,24,29,40,41,42,0,0,6033800,166500,10000
6,14,15,26,27,40,42,6574451700,196297600,4267300,87600,10000
7,2,9,16,25,26,40,0,48165000,1605500,65500,10000
8,8,19,25,34,37,39,0,131555000,2268100,110500,10000
9,2,4,16,17,36,39,0,769456500,8743800,260000,10000
10,9,25,30,33,41,44,6430437900,40813400,856400,27300,10000
11,1,7,36,37,41,42,4780152300,362132700,9307100,206800,10000
12,2,11,21,25,39,45,1348845700,99914400,1417500,70200,10000
13,22,23,25,37,38,42,0,433309300,5777400,175600,10000
14,2,6,12,31,33,40,9375048300,130363400,2568700,93900,10000
15,3,4,16,30,31,37,17014245000,177231700,5571100,144600,10000
16,6,7,24,37,38,40,4377146100,243174700,3385200,123500,10000
17,3,4,9,17,32,37,5349491200,297193900,2342100,86700,10000
18,3,12,13,19,32,35,0,175017300,3953700,136500,10000
19,6,30,38,39,40,43,40722959400,297278500,5971100,150900,10000
20,10,14,18,20,23,30,19352212800,230383400,3632100,133900,10000
21,6,12,17,18,31,32,797475400,117576500,1522400,73600,10000
22,4,5,6,8,17,39,4552194900,94837300,3669600,113900,10000
23,5,13,17,18,33,42,4317947700,125157900,2098100,90300,10000
24,7,8,27,29,36,43,0,176023700,3425300,120000,10000
25,2,4,21,26,43,44,24227745300,175267400,4417100,166600,10000
26,4,5,7,18,20,25,3495069900,74680900,2173500,80600,10000
27,1,20,26,28,37,43,9543982500,198832900,5494500,189800,10000
28,9,18,23,25,35,37,1700361100,128815200,2434600,97900,10000
29,1,5,13,34,39,40,3552594000,174146700,3936800,139800,10000
30,8,17,20,35,36,44,8728555500,132250800,3336600,137500,10000
31,7,9,18,23,28,35,8106672900,93180100,2391300,92500,10000
32,6,14,19,25,34,44,1634528300,55596200,2264500,103300,10000
33,4,7,32,33,40,41,14903517600,60583400,2336700,95200,10000
34,9,26,35,37,40,42,3056918000,56609500,2015300,74300,10000
35,2,3,11,26,37,43,5054598200,105304100,2708700,107800,10000
36,1,10,23,26,28,40,16014475800,140477800,3475300,139300,10000
37,7,27,30,33,35,37,4985999400,124649900,2908900,107600,10000
38,16,17,22,30,37,43,5374866400,149301800,3957900,147700,10000
39,6,7,13,15,21,43,2623748800,104949900,3753500,135400,10000
40,7,13,18,19,25,26,1147652400,56513100,2356900,76400,10000
41,13,20,23,35,38,43,0,109404000,3282100,135900,10000
42,17,18,19,21,23,32,6899280100,131479800,3275200,115700,10000
43,6,31,35,38,39,44,17749630800,140870000,3194600,131200,10000
44,3,11,21,30,38,45,3362155800,121817200,3569100,139700,10000
45,1,10,20,27,33,35,8356417800,103165600,3129700,122500,10000
46,8,13,15,23,31,38,5327758800,68304600,2554000,117700,10000
47,14,17,26,31,36,45,3250042400,246215300,3002600,133400,10000
48,6,10,18,26,37,38,2415673600,96626900,1888700,83200,10000
49,4,7,16,19,33,40,1967504600,46845300,1543600,69000,10000
50,2,10,12,15,22,44,5227061400,186680700,3164000,129700,10000
51,2,3,11,16,26,44,2421117000,93119800,2519300,105900,10000
52,2,4,15,16,20,29,3900844900,200043300,3887200,150000,10000
53,7,8,14,32,33,39,5014371000,100287400,3126100,110500,10000
54,1,8,21,27,36,39,5148626600,171620800,3580400,147700,10000
55,17,21,31,37,40,44,7088799600,98455500,3245700,111000,10000
57,7,10,16,25,29,44,4114411900,109717600,2857200,124500,10000
58,10,24,25,33,40,44,3676429200,62844900,1859600,84200,10000
59,6,29,36,39,41,45,4127587300,119640200,4226900,157100,10000
60,2,8,25,36,39,42,2172504600,93873600,2329500,110800,10000
61,14,15,19,30,38,43,3541038800,268260500,3740000,143100,10000
62,3,8,15,27,29,35,15817286400,119827900,3179900,126400,10000
63,3,20,23,36,38,40,7922245500,101567200,3204700,127200,10000
64,14,15,18,21,26,36,3899818000,236352600,3993600,140000,10000
65,4,25,33,36,40,43,3727945800,92048000,2477800,94500,10000
66,2,3,7,17,22,24,3685138200,129303000,3125600,122200,10000
67,3,7,10,15,36,38,2114436500,39787700,2537900,105500,10000
68,10,12,15,16,26,39,2945882100,122745000,3255800,113400,10000
69,5,8,14,15,19,39,4962712200,124067800,3239300,120300,10000
70,5,19,22,25,28,43,5031277800,179688400,3508500,136700,10000
71,5,9,12,16,29,41,0,88745200,3177500,125700,10000
72,2,4,11,17,26,27,3260524600,104081800,1824500,80300,10000
73,3,12,18,32,40,43,2766662100,106410000,2029800,99500,10000
74,6,15,17,18,35,40,5284949800,66061800,2588100,109100,10000
75,2,5,24,32,34,44,3914616900,137354900,3194300,127900,10000
76,1,3,15,22,25,37,7451022600,146098400,2956700,111600,10000
77,2,18,29,32,43,44,5155758600,135677800,3615500,139200,10000
78,10,13,25,29,33,35,3519850000,106662100,2578600,110500,10000
79,3,12,24,27,30,32,3416443800,73471910,1904373,92154,10000
80,17,18,24,25,26,30,13809540000,143849375,2651602,114362,10000
81,5,7,11,13,20,33,2714288880,113095370,2162436,87580,10000
82,1,2,3,14,27,42,14562494400,121354120,3810177,134320,10000
83,6,10,15,17,19,34,7086948300,157487740,2775930,102880,10000
84,16,23,27,34,42,45,7669779000,150387824,4026131,157805,10000
85,6,8,13,23,31,36,3462109800,74453975,2804464,110577,10000
86,2,12,37,39,41,45,14252186400,148460275,3887667,135515,10000
87,4,12,16,23,34,43,1799358055,99964337,2639059,120466,10000
88,1,17,20,24,30,41,3069709650,66015262,1729902,63321,5000
89,4,26,28,29,33,40,4248321900,70805365,1585195,58463,5000
90,17,20,29,35,38,44,3291435300,64537948,1691820,64645,5000
